DL_Model,ML_Model,Validation_Type,Fold,Accuracy,Precision,Recall,F1
VGG16,SVM,Group-Aware 5-Fold CV,1,0.9915966386554622,0.9920654272373935,0.9912489583506617,0.9916512868572019
VGG16,SVM,Group-Aware 5-Fold CV,2,0.9980217606330366,0.9978926996775487,0.9980127579809109,0.9979501742461712
VGG16,SVM,Group-Aware 5-Fold CV,3,0.9960435212660732,0.9966292649621878,0.9959283206023558,0.9962729720444429
VGG16,SVM,Group-Aware 5-Fold CV,4,0.9980217606330366,0.9984384260926222,0.9978937761290703,0.9981647325549906
VGG16,SVM,Group-Aware 5-Fold CV,5,0.9960435212660732,0.9963882286921502,0.9959724058770291,0.9961709389946428
VGG16,Random Forest,Group-Aware 5-Fold CV,1,0.9940682155215027,0.9946721057401317,0.9934082081002141,0.9940114566381016
VGG16,Random Forest,Group-Aware 5-Fold CV,2,0.996538081107814,0.997008511570122,0.9963569845604315,0.9966796883941619
VGG16,Random Forest,Group-Aware 5-Fold CV,3,0.9950544015825915,0.9956784210720078,0.9946764411470294,0.9951583664651603
VGG16,Random Forest,Group-Aware 5-Fold CV,4,0.9955489614243324,0.9963789911711594,0.9953352275092627,0.9958462521868646
VGG16,Random Forest,Group-Aware 5-Fold CV,5,0.9866468842729971,0.9882877499698334,0.9880270704833757,0.9880805231133066
VGG16,KNN (k=3),Group-Aware 5-Fold CV,1,0.9915966386554622,0.9928122220713765,0.9909287474781573,0.9918537026353627
VGG16,KNN (k=3),Group-Aware 5-Fold CV,2,0.9960435212660732,0.996256982315097,0.9965405504792916,0.9963973286327904
VGG16,KNN (k=3),Group-Aware 5-Fold CV,3,0.9955489614243324,0.9961850960616014,0.9955206677265501,0.9958480682121107
VGG16,KNN (k=3),Group-Aware 5-Fold CV,4,0.996538081107814,0.9974403610431404,0.9962597892009657,0.9968403105423342
VGG16,KNN (k=3),Group-Aware 5-Fold CV,5,0.9950544015825915,0.9960899536579132,0.9948228368379656,0.9954470765045015
VGG16,MLP,Group-Aware 5-Fold CV,1,0.9945625308947108,0.9936673094397067,0.9947671671131703,0.9941770385802174
VGG16,MLP,Group-Aware 5-Fold CV,2,0.9995054401582592,0.999550763701707,0.9994444444444444,0.9994968372088134
VGG16,MLP,Group-Aware 5-Fold CV,3,0.9985163204747775,0.9984636727319653,0.9985435435435436,0.9985028836047701
VGG16,MLP,Group-Aware 5-Fold CV,4,0.9970326409495549,0.9970264878472056,0.9978937761290703,0.997456208298408
VGG16,MLP,Group-Aware 5-Fold CV,5,0.9975272007912958,0.9975537416971255,0.9973504015197306,0.9974481466399121
InceptionV3,SVM,Group-Aware 5-Fold CV,1,0.9960435212660732,0.9962730088022242,0.9965405504792916,0.9964044898127868
InceptionV3,SVM,Group-Aware 5-Fold CV,2,0.9955489614243324,0.9964409916615274,0.9954264558676323,0.9959256241015141
InceptionV3,SVM,Group-Aware 5-Fold CV,3,0.9960435212660732,0.9970847316342915,0.9959125695571931,0.9964853007718806
InceptionV3,SVM,Group-Aware 5-Fold CV,4,0.9980227385071676,0.9984514702220672,0.9981056603295135,0.998277282248447
InceptionV3,SVM,Group-Aware 5-Fold CV,5,0.9950544015825915,0.9952186988771872,0.9955450296189818,0.9953788052353021
InceptionV3,Random Forest,Group-Aware 5-Fold CV,1,0.9841740850642928,0.9883901208517435,0.9834479093180853,0.985796267843145
InceptionV3,Random Forest,Group-Aware 5-Fold CV,2,0.9792284866468842,0.9851113265436505,0.9786667465517223,0.9816949320229579
InceptionV3,Random Forest,Group-Aware 5-Fold CV,3,0.9831849653808111,0.9882338793887104,0.981747464024534,0.9847416569786516
InceptionV3,Random Forest,Group-Aware 5-Fold CV,4,0.9807217004448838,0.9855339226359776,0.9800506974432263,0.9826134587721173
InceptionV3,Random Forest,Group-Aware 5-Fold CV,5,0.9718100890207715,0.9786552442835945,0.9703794915005215,0.9741552949459479
InceptionV3,KNN (k=3),Group-Aware 5-Fold CV,1,0.9886251236399605,0.9906415055918103,0.9883408614684374,0.9894204597782205
InceptionV3,KNN (k=3),Group-Aware 5-Fold CV,2,0.9851632047477745,0.9900922149897636,0.9840638399733567,0.9868794177967689
InceptionV3,KNN (k=3),Group-Aware 5-Fold CV,3,0.9910979228486647,0.9941901991370371,0.9903240107848577,0.9921732566837044
InceptionV3,KNN (k=3),Group-Aware 5-Fold CV,4,0.9896193771626297,0.9926758902301246,0.9888495323784956,0.9906768382115064
InceptionV3,KNN (k=3),Group-Aware 5-Fold CV,5,0.9812067260138477,0.9868748147909798,0.9803932202264284,0.9834228104262156
InceptionV3,MLP,Group-Aware 5-Fold CV,1,0.996538081107814,0.996810988095482,0.9967379931448871,0.9967720517729254
InceptionV3,MLP,Group-Aware 5-Fold CV,2,0.9945598417408507,0.9956323391307714,0.9944313431078138,0.9950202939310876
InceptionV3,MLP,Group-Aware 5-Fold CV,3,0.9950544015825915,0.9961746750227074,0.9945979906470727,0.9953668210916421
InceptionV3,MLP,Group-Aware 5-Fold CV,4,0.9960454770143351,0.996383878668469,0.9959208754907317,0.9961488236832484
InceptionV3,MLP,Group-Aware 5-Fold CV,5,0.9940652818991098,0.9943037488099108,0.9944678859464614,0.9943837375098905
