Similarity_Threshold,Total_Samples,Total_Groups,Singleton_Groups,Multi_Sample_Groups,Samples_In_Multi_Groups,Grouped_Sample_Percentage,Largest_Group,Mean_Multi_Group_Size,Near_Duplicate_Pairs,DL_Model
0.9999,10111,9232,8926,306,1185,11.71990900998912,15,3.872549019607843,1591,VGG16
0.999,10111,3260,2661,599,7450,73.6821283750371,1275,12.437395659432386,202313,VGG16
0.995,10111,85,59,26,10052,99.41647710414401,2996,386.61538461538464,2714416,VGG16
0.99,10111,13,6,7,10105,99.94065868855702,3000,1443.5714285714287,5202242,VGG16
0.985,10111,7,1,6,10110,99.99010978142617,3000,1685.0,6922531,VGG16
0.9999,10111,10103,10095,8,16,0.15824349718128772,2,2.0,8,InceptionV3
0.999,10111,10103,10095,8,16,0.15824349718128772,2,2.0,8,InceptionV3
0.995,10111,10082,10059,23,52,0.514291365839185,6,2.260869565217391,31,InceptionV3
0.99,10111,9928,9831,97,280,2.769261200672535,7,2.88659793814433,230,InceptionV3
0.985,10111,9713,9545,168,566,5.597863712788053,7,3.369047619047619,578,InceptionV3
